MNC_Id	Spruce_contig_dir8_Name
MNC5688674	Contig1655
MNC5688675	Contig1656
MNC5688676	Contig1657
MNC5688678	Contig1659
MNC5688678	Contig1659
MNC5688679	Contig1660
MNC5688682	Contig1663
MNC5688685	Contig1666
MNC5688687	Contig1668
MNC5688687	Contig1668
MNC5688689	Contig1670
MNC5688691	Contig1672
MNC5688692	Contig1673
MNC5688694	Contig1675
MNC5688695	Contig1676
MNC5688696	Contig1677
MNC5688697	Contig1678
MNC5688700	Contig1681
MNC5688701	Contig1682
MNC5688702	Contig1683
MNC5688704	Contig1685
MNC5688706	Contig1687
MNC5688710	Contig1691
MNC5688711	Contig1692
MNC5688712	Contig1693
MNC5688715	Contig1696
MNC5688717	Contig1698
MNC5688719	Contig1700
MNC5688721	Contig1702
MNC5688722	Contig1703
MNC5688723	Contig1704
MNC5688725	Contig1706
MNC5688727	Contig1708
MNC5688728	Contig1709
MNC5688729	Contig1710
MNC5688730	Contig1711
MNC5688730	Contig1711
MNC5688731	Contig1712
MNC5688732	Contig1713
MNC5688734	Contig1715
MNC5688735	Contig1716
MNC5688736	Contig1717
MNC5688738	Contig1719
MNC5688738	Contig1719
MNC5688740	Contig1721
MNC5688744	Contig1725
MNC5688745	Contig1726
MNC5688747	Contig1728
MNC5688748	Contig1729
MNC5688749	Contig1730
MNC5688753	Contig1734
MNC5688754	Contig1735
MNC5688757	Contig1738
MNC5688758	Contig1739
MNC5688760	Contig1741
MNC5688762	Contig1743
MNC5688763	Contig1744
MNC5688764	Contig1745
MNC5688765	Contig1746
MNC5688766	Contig1747
MNC5688771	Contig1752
MNC5688773	Contig1754
MNC5688775	Contig1756
MNC5688775	Contig1756
MNC5688777	Contig1758
MNC5688779	Contig1760
MNC5688780	Contig1761
MNC5688781	Contig1762
MNC5688782	Contig1763
MNC5688783	Contig1764
MNC5688786	Contig1767
MNC5688789	Contig1770
MNC5688790	Contig1771
MNC5688794	Contig1775
MNC5688797	Contig1778
MNC5688798	Contig1779
MNC5688799	Contig1780
MNC5688800	Contig1781
MNC5688801	Contig1782
MNC5688803	Contig1784
MNC5688805	Contig1786
MNC5688807	Contig1788
MNC5688808	Contig1789
MNC5688808	Contig1789
MNC5688809	Contig1790
MNC5688811	Contig1792
MNC5688814	Contig1795
MNC5688817	Contig1798
MNC5688818	Contig1799
MNC5688819	Contig1800
MNC5688820	Contig1801
MNC5688822	Contig1803
MNC5688823	Contig1804
MNC5688824	Contig1805
MNC5688824	Contig1805
MNC5688825	Contig1806
MNC5688826	Contig1807
MNC5688828	Contig1809
MNC5688828	Contig1809
MNC5688829	Contig1810
MNC5688831	Contig1812
MNC5688832	Contig1813
MNC5688833	Contig1814
MNC5688833	Contig1814
MNC5688834	Contig1815
MNC5688835	Contig1816
MNC5688836	Contig1817
MNC5688839	Contig1820
MNC5688840	Contig1821
MNC5688841	Contig1822
MNC5688841	Contig1822
MNC5688842	Contig1823
MNC5688844	Contig1825
MNC5688848	Contig1829
MNC5688849	Contig1830
MNC5688852	Contig1833
MNC5688853	Contig1834
MNC5688855	Contig1836
MNC5688856	Contig1837
MNC5688857	Contig1838
MNC5688859	Contig1840
MNC5688860	Contig1841
MNC5688862	Contig1843
MNC5688863	Contig1844
MNC5688867	Contig1848
MNC5688868	Contig1849
MNC5688869	Contig1850
MNC5688870	Contig1851
MNC5688872	Contig1853
MNC5688873	Contig1854
MNC5688874	Contig1855
MNC5688875	Contig1856
MNC5688876	Contig1857
MNC5688878	Contig1859
MNC5688881	Contig1862
MNC5688882	Contig1863
MNC5688883	Contig1864
MNC5688884	Contig1865
MNC5688885	Contig1866
MNC5688887	Contig1868
MNC5688888	Contig1869
MNC5688889	Contig1870
MNC5688890	Contig1871
MNC5688891	Contig1872
MNC5688892	Contig1873
MNC5688893	Contig1874
MNC5688895	Contig1876
MNC5688896	Contig1877
MNC5688896	Contig1877
MNC5688897	Contig1878
MNC5688900	Contig1881
MNC5688902	Contig1883
MNC5688903	Contig1884
MNC5688904	Contig1885
MNC5688905	Contig1886
MNC5688907	Contig1888
MNC5688909	Contig1890
MNC5688909	Contig1890
MNC5688910	Contig1891
MNC5688911	Contig1892
MNC5688914	Contig1895
MNC5688915	Contig1896
MNC5688916	Contig1897
MNC5688917	Contig1898
MNC5688920	Contig1901
MNC5688922	Contig1903
MNC5688924	Contig1905
MNC5688925	Contig1906
MNC5688926	Contig1907
MNC5688928	Contig1909
MNC5688929	Contig1910
MNC5688930	Contig1911
MNC5688931	Contig1912
MNC5688932	Contig1913
MNC5688934	Contig1915
MNC5688935	Contig1916
MNC5688936	Contig1917
MNC5688937	Contig1918
MNC5688938	Contig1919
MNC5688939	Contig1920
MNC5688940	Contig1921
MNC5688941	Contig1922
MNC5688942	Contig1923
MNC5688943	Contig1924
MNC5688945	Contig1926
MNC5688946	Contig1927
MNC5688949	Contig1930
MNC5688951	Contig1932
MNC5688952	Contig1933
MNC5688953	Contig1934
MNC5688954	Contig1935
MNC5688955	Contig1936
MNC5688956	Contig1937
MNC5688958	Contig1939
MNC5688959	Contig1940
MNC5688960	Contig1941
MNC5688962	Contig1943
MNC5688964	Contig1945
MNC5688967	Contig1948
MNC5688970	Contig1951
MNC5688971	Contig1952
MNC5688972	Contig1953
MNC5688973	Contig1954
MNC5688974	Contig1955
MNC5688975	Contig1956
MNC5688977	Contig1958
MNC5688979	Contig1960
MNC5688980	Contig1961
MNC5688984	Contig1965
MNC5688985	Contig1966
MNC5688987	Contig1968
MNC5688988	Contig1969
MNC5688988	Contig1969
MNC5688989	Contig1970
MNC5688991	Contig1972
MNC5688991	Contig1972
MNC5688992	Contig1973
MNC5688996	Contig1977
MNC5688997	Contig1978
MNC5689003	Contig1984
MNC5689005	Contig1986
MNC5689006	Contig1987
MNC5689007	Contig1988
MNC5689008	Contig1989
MNC5689008	Contig1989
MNC5689009	Contig1990
MNC5689010	Contig1991
MNC5689011	Contig1992
MNC5689014	Contig1995
MNC5689016	Contig1997
MNC5689018	Contig1999
MNC5689019	Contig2000
