"GA013-001"	"GA013-002"	"GA013-003"	"GA013-005"	"GA013-006"	"GA013-007"	"GA013-008"	"GA013-009"	"GA013-011"	"GA013-012"
"MNC5692126"	0.211040839038452	-0.344966745326717	-0.215854088616996	-0.125871312136200	0.0951701791579902	0.253140634329989	0.212923373779275	0.0742304045329212	0.194897101086958	-0.32919035801119
"MNC5698355"	0.0444141550749276	0.0256109968095385	0.41180370946698	-0.243470170854400	0.284391691785484	-0.307990644510906	0.174922460053509	0.0525881409068726	0.417876321539503	0.269034370054598
"MNC5700375"	0.0818622242325342	-0.489213519135446	-0.35069508740786	-0.0090436107932318	0.285809620589759	0.265689109486797	0.106375057258178	0.0702961894193258	0.265312948749145	-0.415433259462655
"MNC5698608"	-0.0609942937960397	0.115054923610291	-0.157407557604713	0.295563278841899	0.234659942861029	0.208165794090408	0.130238725111820	-0.138548018153044	0.0367005891312480	-0.193477261846825
"MNC5688564"	0.176989356499835	0.136736905632055	0.0230355108295092	0.117162693260488	0.0800245982672223	-0.180734404150968	0.151274818911052	0.102028826601298	0.110850984958683	-0.0624788332482119
"MNC5700676"	0.187356277562085	0.362193523343371	0.203293721319664	-0.393406703156284	-0.180606727715723	0.234969424838826	-0.147820032512584	0.240044493036638	-0.311288333744466	-0.018857006611933
"MNC5698496"	-0.248919605731805	-0.344795653204704	-0.392067698379292	0.308783901480870	-0.140456496584432	0.115136893080949	0.0806555494504812	-0.204138566148058	-0.0322771864833595	-0.378987277474668
"MNC5700999"	-0.00151887603721649	0.000942877057343031	-0.0802913789007985	0.153778436464331	-0.32240439021619	-0.0802775616592664	-0.0530466372012233	0.00948785822088179	-0.236987795351895	-0.0530821031301124
"MNC5701697"	0.153701799962807	-0.0168147523694528	-0.07270440563154	0.112801510440179	0.0424707781583705	-0.189998968758102	-0.183628860735932	-0.0295565147799526	0.117639000937902	-0.313564300864034
"MNC5702439"	-0.0463438231965884	-0.156253614851948	0.047194090791761	0.00886463068404721	0.00480659426062276	-0.132174361229632	0.111402924222290	-0.0879700603249529	0.0660986501002892	-0.0264453823502028
"MNC5698559"	0.0405163814865500	0.153010660336387	0.434450722128044	-0.218478274554986	0.100961018758198	-0.438391665848038	0.393145173155123	0.110925801088353	0.370137019160598	0.231987098769036
