"ID"	"ANNOTATION"	"M"	"A"	"t"	"P.Value"	"B"
"MNC5696306"	"Contig9287"	"0.278904320171899"	"-0.153430575159712"	"4.04541854186449"	"0.000892584221451472"	"-0.572145685438762"
"MNC5696701"	"Contig9682"	"-0.256448949729536"	"0.00353471174110398"	"-4.03906591397815"	"0.00090474090203328"	"-0.584988313137545"
"MNC5703144"	NA	"-0.207840558943693"	"-0.100621160331706"	"-4.03856954285304"	"0.000905697795072184"	"-0.585991837077943"
"MNC5702082"	NA	"0.404953946776642"	"0.00784112039712068"	"4.03565512888292"	"0.000911336790375664"	"-0.591884107166379"
"MNC5701441"	NA	"0.330792102801625"	"-0.00389719792284974"	"4.03023731467351"	"0.000921913916437575"	"-0.602838291136525"
"MNC5694936"	"Contig7917"	"-0.197393048924154"	"-0.101237040274902"	"-4.02707508349198"	"0.000928144699326875"	"-0.609232315978882"
"MNC5700940"	"Contig13921"	"0.276463204376051"	"-0.0497712636620711"	"4.02331797445293"	"0.000935602909059234"	"-0.6168295251062"
"MNC5695863"	"Contig8844"	"-0.201478285374280"	"-0.00536927228211181"	"-4.01848476060154"	"0.000945286342494095"	"-0.626603250247914"
"MNC5695480"	"Contig8461"	"-0.212573636177811"	"-0.0191387567825731"	"-4.01827016343392"	"0.000945718630090305"	"-0.627037222424017"
"MNC5701960"	NA	"-0.186598050958315"	"-0.0629141556217624"	"-4.01742383311288"	"0.000947425436272432"	"-0.628748737264258"
"MNC5688584"	"Contig1565"	"0.314352093579401"	"-0.102149210994894"	"4.01428315121993"	"0.000953786518140623"	"-0.635100224352854"
"MNC5695970"	NA	"0.291847878600819"	"-0.140396349986279"	"4.01241402890524"	"0.000957592649959644"	"-0.638880317450806"
"MNC5697155"	"Contig10136"	"-0.22069632041879"	"-0.0113458118075828"	"-4.00709206202734"	"0.000968514056913661"	"-0.649643871170145"
"MNC5693431"	"Contig6412"	"-0.243264726981728"	"-0.104779271638928"	"-4.0045391577032"	"0.000973797495595928"	"-0.654807300169174"
"MNC5693941"	"Contig6922"	"-0.222740606658436"	"-0.0743143905540957"	"-4.00350309757349"	"0.000975949993098022"	"-0.656902848413379"
"MNC5687126"	NA	"0.254354650194109"	"-0.00367316698063028"	"4.00103307142729"	"0.000981101057386575"	"-0.661898854673323"
"MNC5690751"	NA	"0.26618788561738"	"-0.148766977888459"	"3.99881366537644"	"0.000985752867591486"	"-0.666388062628615"
